Christopher Nugent,10008946
Lavalin Nugent,10008948
Lavalin Nugent,10008948
John Aungell,10000416
John Angell,10000416
John Angel,10000416
John Aungell,10000416
Thomas Smith,10011242
Thomas Smith,10011242
John Aucher,10000410
John Aucher,10000410
Francis Augustus Ligonier,10000415
Francis Augustus Ligonier,10000415
Bridget Bishop,10001096
Bridget Bishop,10001096
Magdalene Aston,10000374
Madgalene Poultney,10000374
Magdalene Aston,10000374
Richard Biscoe,10001095
Richard Biscoe,10001095
Curtis Barnett,10000684
Curtis Barnett,10000684
Jerome Barlowe,10000667
Jerome Barlowe,10000667
Uaithne O Cobhthaigh,10008978
Uaithne O Cobhthaigh,10008978
Michael Foster,10004494
Sir Michael,10004494
Sir Michael Foster,10004494
Sir Foster,10004494
Michael Foster,10004494
Philip Ayres,10000449
Philip Ayres,10000449
William Willymat,10012956
William Willymat,10012956
Gerald Aungier,10000418
Gerald Aungier,10000418
William Ayloffe,10000447
William Ayloffe,10000447
Humphrey Babington,10000459
Humphrey Babington,10000459
Brute Babington,10000456
Brute Babington,10000456
Edward Ayscu,10000450
Sir Edward,10000450
Sir Edward Ayscu,10000450
Sir Ayscu,10000450
Edward Ayscu,10000450
John Babington,10000460
John Babington,10000460
William Babell,10000453
William Babell,10000453
Grace Babthorpe,10000461
Grace Birnand,10000461
Edmund Audley,10000412
Edmund Audley,10000412
Thomas Fuller,10004613
Thomas Fuller,10004613
Humphrey Baker,10000537
Humfrey Baker,10000537
Phanuel Bacon,10000484
Phanuel Bacon,10000484
Thomas Barlow,10000662
Thomas Barlow,10000662
Eochaidh � hEodhasa,10008982
Eochaidh O'Hussey,10008982
Eochaidh O hEodhasa,10008982
Mabel Dacre,10051230
Robert Lockyer,10007553
Robert Lockyer,10007553
Florence Wilson,10012970
Florence Volusene,10012970
Florence Wilson,10012970
Benjamin Baddam,10000487
Benjamin Baddam,10000487
William Willymott,10012957
William Willymott,10012957
Philip Bacon,10000485
Philip Bacon,10000485
Mathew Bacon,10000477
Mathew Bacon,10000477
Bernard Wilson,10012968
Bernard Wilson,10012968
Lewis Bagot,10000499
Sir Lewis,10000499
Sir Lewis Bagot,10000499
Sir Bagot,10000499
Lewis Bagot,10000499
Humphrey Baggerley,10000496
Humphrey Baggerley,10000496
Edward Bagot,10000497
Sir Edward,10000497
Sir Edward Bagot,10000497
Sir Bagot,10000497
Edward Bagot,10000497
Margaret Abbot,10050024
Thomas Horne,10006192
Thomas Horne,10006192
Rebecca Nurse,10008958
Rebecca Nurse,10008958
Lowjee Nusserwanjee Wadia,10008959
Lowjee Nusserwanjee Wadia,10008959
James Murray,10008636
Sir James,10008636
Sir James Murray,10008636
Sir Murray,10008636
James Murray,10008636
John Theyer,10011866
John Theyer,10011866
John Paul Jameson,10006544
John Paul Jamieson,10006544
John Paul,10006544
John Paul Jameson,10006544
John Lombe,10007578
John Lombe,10007578
Robert Baker,10000545
Robert Baker,10000545
Thomas Foley,10004423
Thomas Foley,10004423
William Jameson,10006545
William Jameson,10006545
Alice Nutter,10008963
Alice Nutter,10008963
Nathanael Ball,10000574
Nathanael Ball,10000574
Charles Fleetwood,10004364
Charles Fleetwood,10004364
Henry Hare,10005526
Henry Hare,10005526
George Goad,10004891
George Goad,10004891
Diarmait O Cobhthaigh,10008974
Diarmait O Cobhthaigh,10008974
Niall MacMhuirich,10007844
Niall MacMhuirich,10007844
John Yonge,10013237
John Yonge,10013237
Richard Banister,10000602
Richard Banister,10000602
Thomas Banister,10000603
Thomas Banister,10000603
John Trew,10012091
John Trew,10012091
Adam Elliot,10003929
Adam Elliot,10003929
Gilbert Elliot,10003930
Sir Gilbert,10003930
Sir Gilbert Elliot,10003930
Sir Elliot,10003930
Gilbert Elliot,10003930
Ippolyta the Tartarian,10050784
Catherine da Costa,10003197
Catherine Mendes,10003197
Rachel da Costa,10003197
Rachel Mendes,10003197
Dorcas Martin,10008018
Dorcas Eccleston,10008018
Dorcas Egleston,10008018
Dorcas Eglestone,10008018
Dorcas Ecclestone,10008018
Richard Bardney,10000632
Richard Bardney,10000632
Paul Barillon d'Amoncourt,10000639
Paul Barillon d'Amoncourt,10000639
William Jearsey,10006558
William Jearsey,10006558
Donnchadh O Cobhthaigh,10008975
Donnchadh O Cobhthaigh,10008975
Andrew Battel,10000789
Andrew Battel,10000789
Robert Browne,10001660
Robert Browne,10001660
Tobias Whitaker,10012773
Tobias Whitaker,10012773
Henry Barham,10000637
Henry Barham,10000637
George Barcroft,10000630
George Barcroft,10000630
Timothy Armitage,10000281
Timothy Armitage,10000281
Alexander Nyndge,10008968
Alexander Nyndge,10008968
Andrew Barker,10000640
Andrew Barker,10000640
John Gery,10004793
John Geary,10004793
John Gery,10004793
John Harrison,10005592
John Harrison,10005592
Muircheartach O Cobhthaigh,10008976
Muircheartach O Cobhthaigh,10008976
Tadhg O Cobhthaigh,10008977
Tadhg O Cobhthaigh,10008977
Samuel Fairclough,10004086
Samuel Fairclough,10004086
Gerat Barry,10000727
Gerat Barry,10000727
Domhnall O Fithcheallaigh,10008981
Domhnall O Fithcheallaigh,10008981
David fitz James Barry,10000724
David fitz James,10000724
David fitz James Barry,10000724
Thomas Rawlinson,10010144
Sir Thomas,10010144
Sir Thomas Rawlinson,10010144
Sir Rawlinson,10010144
Thomas Rawlinson,10010144
Jeronimo Bassano,10000759
Jeronimo Bassano,10000759
Aonghus O Dalaigh Fionn,10008980
Aonghus O Dalaigh Fionn,10008980
Lodovico Bassano,10000760
Lodovico Bassano,10000760
Baptista Bassano,10000758
Baptista Bassano,10000758
William Barons,10000703
William Barnes,10000703
William Barons,10000703
Philip Barrow,10000721
Philip Barrow,10000721
Edward Barry,10000725
Sir Edward,10000725
Sir Edward Barry,10000725
Sir Barry,10000725
Edward Barry,10000725
William Barriffe,10000712
William Barriffe,10000712
Thomas Hope of Kerse,10006160
Sir Thomas,10006160
Sir Thomas Hope,10006160
Sir Thomas Hope of Kerse,10006160
Sir Thomas of Kerse,10006160
Sir Hope,10006160
Sir Hope of Kerse,10006160
Thomas Hope,10006160
Thomas Hope of Kerse,10006160
Thomas of Kerse,10006160
Giolla Brighde � hEodhasa,10008983
Giolla Brighde O'Hussey,10008983
Giolla Brighde,10008983
Giolla Brighde O hEodhasa,10008983
Fearfeasa � Maoilchonaire,10008984
Fearfeasa O' Maelchonaire,10008984
Fearfeasa O Maoilchonaire,10008984
Froinsias O Maolmhuaidh,10008985
Froinsias O Maolmhuaidh,10008985
Emelia Geddie,10004754
Emilia Geddie,10004754
Emelia Geddie,10004754
Aodhagan O Rathaille,10008988
Aodhagan O Rathaille,10008988
Alvise Bassano,10000756
Alvise Bassano,10000756
Augustine Bassano,10000757
Augustine Bassano,10000757
Gilbert Bourne,10001356
Gilbert Bourne,10001356
John Wyn ap Maredudd,10013194
John Wyn ap Maredudd,10013194
Martin Bladen,10001134
Martin Bladen,10001134
William Hodges,10006027
Sir William,10006027
Sir William Hodges,10006027
Sir Hodges,10006027
William Hodges,10006027
Thomas Bateson,10000778
Thomas Bateson,10000778
George Winram of Liberton,10013004
George Windrahame of Liberton,10013004
George Winram,10013004
George Winram of Liberton,10013004
George of Liberton,10013004
Stephen Jenyns,10006601
Sir Stephen,10006601
Sir Stephen Jenyns,10006601
Sir Jenyns,10006601
Stephen Jenyns,10006601
Benjamin Jenks,10006586
Benjamin Jenks,10006586
Nicholas Murford,10008624
Nicholas Murford,10008624
Edward Jenynges,10006600
Edward Jenynges,10006600
Ann Bathurst,10000783
Ann Bathurst,10000783
William Middleton,10008274
William Middleton,10008274
Mary Honywood,10006133
Mary Waters,10006133
Mary Honywood,10006133
Peter Faneuil,10004124
Peter Faneuil,10004124
John Ball,10000572
John Ball,10000572
Arthur Heveningham,10005883
Sir Arthur,10005883
Sir Arthur Heveningham,10005883
Sir Heveningham,10005883
Arthur Heveningham,10005883
